Rec #,Establishment ID,Inspection ID,Establishment Name,Establishment Type,Establishment Address,Latitude,Longitude,Establishment Status,Min. Inspections Per Year,Infraction Details,Inspection Date,Severity,Action,Outcome,Amount Fined
14532,9007093,105168263,HOSPITAL FOR SICK CHILDREN,Hospitals & Health Facilities,555 UNIVERSITY AVE,43.65737,-79.38744,Pass,3,,05/15/2023,,,,
14533,9041825,105168264,HOSPITAL FOR SICK CHILDREN TERRACE CAFE,Institutional Food Services,555 UNIVERSITY AVE,43.65737,-79.38744,Pass,3,,05/15/2023,,,,
14534,10748622,105173752,ICE CREAMONOLOGY,Food Take Out,"248 QUEENS QUAY W, Unit-10",43.63915,-79.38511,Pass,2,Operate food premise - furniture not arranged to permit cleaning - Sec. 9,05/15/2023,M - Minor,Notice to Comply,,
14535,9007494,105173168,IRISH ROSE PUB,Restaurant,1095 WESTON RD,43.68624,-79.48756,Pass,2,,05/15/2023,,,,
14536,10385028,105173580,K.F.T.,Food Processing Plant,"865 YORK MILLS RD, Unit 1",43.75431,-79.34959,Pass,2,,05/15/2023,,,,
14537,10626061,105174066,KHAU GULLY,Restaurant,1987 YONGE ST,43.70049,-79.39676,Pass,2,Fail to protect food from contamination or adulteration - Sec. 26(1) ,05/15/2023,C - Crucial,Notice to Comply,,
14538,10626061,105174066,KHAU GULLY,Restaurant,1987 YONGE ST,43.70049,-79.39676,Pass,2,USE EQUIPMENT NOT FREE FROM CRACKS IN CONTACT WITH FOOD - SEC.  8(2)(B)  ,05/15/2023,S - Significant,Notice to Comply,,
14539,10626061,105174066,KHAU GULLY,Restaurant,1987 YONGE ST,43.70049,-79.39676,Pass,2,SANITIZE UTENSILS IN QUATERNARY AMMONIUM COMPOUND SOLUTION OF LESS THAN 200 P.P.M. - SEC. 19(C) ,05/15/2023,S - Significant,Notice to Comply,,
14540,10626061,105174066,KHAU GULLY,Restaurant,1987 YONGE ST,43.70049,-79.39676,Pass,2,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,05/15/2023,S - Significant,Notice to Comply,,
14541,10626061,105174066,KHAU GULLY,Restaurant,1987 YONGE ST,43.70049,-79.39676,Pass,2,Food premise not maintained with floors in good repair in food-handling room - Sec. 7(1)(g)  ,05/15/2023,M - Minor,Notice to Comply,,
14542,10626061,105174066,KHAU GULLY,Restaurant,1987 YONGE ST,43.70049,-79.39676,Pass,2,Operate food premise - appliances not arranged to permit maintenance in sanitary condition - Sec. 9,05/15/2023,M - Minor,Notice to Comply,,
14543,10626061,105174066,KHAU GULLY,Restaurant,1987 YONGE ST,43.70049,-79.39676,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,05/15/2023,M - Minor,Notice to Comply,,
14544,10626061,105174066,KHAU GULLY,Restaurant,1987 YONGE ST,43.70049,-79.39676,Pass,2,Fail to protect against harbouring of pests - Sec. 13(1),05/15/2023,S - Significant,Notice to Comply,,
14545,10626061,105174066,KHAU GULLY,Restaurant,1987 YONGE ST,43.70049,-79.39676,Pass,2,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,05/15/2023,NA - Not Applicable,Notice to Comply,,
14546,10626061,105174066,KHAU GULLY,Restaurant,1987 YONGE ST,43.70049,-79.39676,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),05/15/2023,S - Significant,Notice to Comply,,
14547,10716264,105173800,KIBO SUSHI HOUSE,Restaurant,146 SUMACH ST,43.65517,-79.35838,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/15/2023,M - Minor,Notice to Comply,,
14548,10716264,105173800,KIBO SUSHI HOUSE,Restaurant,146 SUMACH ST,43.65517,-79.35838,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN CEILING IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/15/2023,M - Minor,Notice to Comply,,
14549,10668117,105171842,KOH LIPE THAI KITCHEN,Restaurant,35 BALDWIN ST,43.65599,-79.39352,Pass,3,USE EQUIPMENT NOT SUITABLE FOR INTENDED PURPOSE - SEC. 8(1)(D)  ,05/15/2023,S - Significant,Corrected During Inspection,,
14550,10668117,105171842,KOH LIPE THAI KITCHEN,Restaurant,35 BALDWIN ST,43.65599,-79.39352,Pass,3,OPERATE FOOD PREMISE - MECHANICAL EQUIPMENT NOT MAINTAINED TO PROVIDE SUFFICIENT CHEMICAL SOLUTION RINSE - SEC. 20(1)(A)(II)(B) ,05/15/2023,S - Significant,Corrected During Inspection,,
14551,10668117,105171842,KOH LIPE THAI KITCHEN,Restaurant,35 BALDWIN ST,43.65599,-79.39352,Pass,3,THERMOMETER IN REFRIGERATION EQUIPMENT NOT EASILY READABLE - SEC. 30(B)    ,05/15/2023,S - Significant,Corrected During Inspection,,
14552,10668117,105171842,KOH LIPE THAI KITCHEN,Restaurant,35 BALDWIN ST,43.65599,-79.39352,Pass,3,Food premise not maintained with tight floor surface where food handled - Sec. 7(1)(c)(i)  ,05/15/2023,M - Minor,Notice to Comply,,
14553,10668117,105171842,KOH LIPE THAI KITCHEN,Restaurant,35 BALDWIN ST,43.65599,-79.39352,Pass,3,FOOD PREMISE NOT MAINTAINED TO KEEP FOOD-HANDLING ROOM FREE FROM MATERIALS NOT REGULARLY USED - SEC. 7(1)(F) ,05/15/2023,M - Minor,Notice to Comply,,
14554,10668117,105171842,KOH LIPE THAI KITCHEN,Restaurant,35 BALDWIN ST,43.65599,-79.39352,Pass,3,Fail to protect against entry of pests - Sec. 13(1),05/15/2023,M - Minor,Notice to Comply,,
14555,10668117,105171842,KOH LIPE THAI KITCHEN,Restaurant,35 BALDWIN ST,43.65599,-79.39352,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/15/2023,M - Minor,Notice to Comply,,
14556,10668117,105171842,KOH LIPE THAI KITCHEN,Restaurant,35 BALDWIN ST,43.65599,-79.39352,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/15/2023,M - Minor,Notice to Comply,,
14557,9053322,105173758,LABDARA LITHUANIAN NURSING HOME,Nursing Home / Home for the Aged,5 RESURRECTION RD,43.6439,-79.53087,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN CEILING IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/15/2023,M - Minor,Notice to Comply,,
